id,day,x_km,y_km,depth_km,mag
Q-001,0.1,77.0,73.5,30.3,1.8
Q-002,0.8,43.9,88.8,20.2,1.5
Q-003,1.7,67.6,68.2,24.5,1.9
Q-004,3.1,54.3,44.1,22.6,1.6
Q-005,7.1,49.2,42.3,14.1,1.6
Q-006,10.9,33.8,28.2,9.6,3.1
Q-007,14.2,83.4,74.5,18.1,1.7
Q-008,14.8,58.2,52.5,21.3,2.2
Q-009,15.4,71.0,62.1,27.5,1.6
Q-010,16.9,40.8,52.6,31.6,2.2
Q-011,17.0,88.1,43.2,10.3,1.6
Q-012,18.0,28.8,28.9,13.0,2.0
Q-013,18.1,49.5,50.7,17.5,2.1
Q-014,20.2,33.3,33.5,9.5,1.7
Q-015,21.3,63.7,60.2,25.2,2.2
Q-016,25.8,76.4,72.6,25.1,1.7
Q-017,26.9,26.9,31.0,7.9,1.6
Q-018,27.5,32.8,2.8,13.9,1.9
Q-019,28.0,51.5,50.2,19.1,1.5
Q-020,28.5,23.7,20.9,8.3,1.6
Q-021,28.5,69.6,63.6,30.4,2.2
Q-022,29.6,47.4,46.5,16.4,2.6
Q-023,31.7,44.6,39.5,18.9,1.9
Q-024,35.4,18.0,24.5,1.9,1.9
Q-025,37.3,39.8,33.4,13.7,1.8
Q-026,45.2,30.5,70.2,9.8,
Q-027,45.5,58.9,26.7,17.9,1.8
Q-028,47.8,49.3,69.6,1.9,1.6
Q-029,48.3,62.6,57.1,23.0,1.6
Q-030,48.6,68.3,68.6,35.1,2.1
Q-031,48.8,94.3,42.4,19.6,1.9
Q-032,50.4,32.4,31.1,10.6,2.7
Q-033,57.8,44.0,71.8,6.2,2.0
Q-034,58.8,56.2,51.9,21.3,2.6
Q-035,58.9,68.9,68.6,24.2,1.5
Q-036,59.3,45.5,41.7,15.6,1.5
Q-037,59.3,23.1,44.6,2.1,1.6
Q-038,60.1,35.5,30.3,10.5,3.6
Q-039,60.7,18.0,7.8,2.5,2.5
Q-040,61.4,30.3,28.2,11.3,1.9
Q-041,65.2,93.3,79.9,17.8,1.9
Q-042,66.5,63.9,55.6,22.3,1.6
Q-043,71.9,41.7,39.5,13.4,2.0
Q-044,73.6,53.4,44.3,20.5,2.1
Q-045,73.9,70.2,63.2,26.0,1.7
Q-046,76.1,81.6,18.4,11.9,1.8
Q-047,80.1,31.3,32.6,10.0,2.1
Q-048,81.8,46.2,36.5,16.6,1.9
Q-049,84.5,77.2,71.1,28.4,2.1
Q-050,84.5,30.8,31.4,10.4,1.8
Q-051,87.7,69.2,56.0,27.6,1.6
Q-052,88.7,20.1,16.0,31.9,3.0
Q-053,89.1,69.8,67.4,26.0,2.8
Q-054,89.7,41.9,4.5,14.0,1.5
Q-055,94.2,23.3,23.1,8.4,1.9
Q-056,95.4,10.0,24.7,2.9,1.5
Q-057,105.0,44.7,44.9,16.9,1.8
Q-058,106.9,57.6,54.9,19.3,1.6
Q-059,110.8,69.3,65.1,26.9,2.3
Q-060,113.4,50.7,43.5,19.1,1.7
Q-061,113.4,74.6,67.3,28.2,1.5
Q-062,113.7,82.6,57.0,7.8,1.7
Q-063,114.1,22.4,26.3,5.9,1.5
Q-064,115.2,77.9,70.8,26.3,1.7
Q-065,117.0,34.7,66.5,25.2,1.6
Q-066,118.4,48.3,41.7,17.2,5.2
Q-067,118.9,51.0,44.2,18.9,4.6
Q-068,119.4,90.8,55.7,1.5,1.7
Q-069,121.6,86.3,16.9,21.9,1.7
Q-070,122.0,32.7,6.3,20.1,1.8
Q-071,122.3,28.4,23.3,7.4,2.5
Q-072,126.1,78.6,73.8,30.1,1.6
Q-073,129.7,29.0,25.1,9.3,3.2
Q-074,132.6,41.7,46.4,11.6,1.7
Q-075,135.5,33.5,37.0,15.9,2.0
Q-076,135.8,74.5,70.4,28.4,1.8
Q-077,137.3,63.4,59.9,22.1,1.8
Q-078,137.6,94.4,23.8,34.4,2.1
Q-079,139.0,38.2,19.9,7.5,3.2
Q-080,142.4,51.1,75.6,12.5,1.6
Q-081,143.4,84.2,53.3,31.9,1.5
Q-082,144.1,71.4,63.6,23.6,2.0
Q-083,148.2,27.3,29.2,9.1,1.7
Q-084,153.4,73.1,69.2,27.7,2.1
Q-085,155.2,16.4,18.9,4.8,1.9
Q-086,157.7,69.5,28.6,11.4,1.6
Q-087,158.4,34.8,37.8,10.1,2.6
Q-088,159.8,50.3,39.8,17.8,1.8
Q-089,160.5,61.4,56.3,20.6,1.6
Q-090,162.2,49.0,8.7,13.5,1.9
Q-091,163.2,45.7,44.7,17.4,1.7
Q-092,167.5,97.0,54.2,11.3,1.5
Q-093,168.7,63.8,58.9,14.9,1.5
Q-094,170.0,24.5,18.5,8.8,1.7
Q-095,170.2,28.9,26.5,9.2,2.4
Q-096,174.3,26.0,22.7,8.2,1.9
Q-097,178.4,71.1,61.5,24.7,2.7
Q-098,180.1,29.8,29.1,10.4,1.8
Q-099,183.7,55.8,52.0,24.8,2.0
Q-100,185.5,21.1,21.8,3.9,1.6
Q-101,187.4,42.0,35.8,15.0,1.6
Q-102,188.5,40.4,35.3,15.6,2.9
Q-103,189.3,87.0,36.7,31.1,2.4
Q-104,200.7,37.6,35.6,14.8,1.7
Q-105,200.7,69.2,21.7,5.0,2.1
Q-106,200.8,73.8,25.0,3.1,1.5
Q-107,201.0,63.3,62.9,19.9,1.7
Q-108,201.2,66.6,23.3,3.8,1.6
Q-109,201.6,71.8,23.5,4.0,2.1
Q-110,201.8,65.7,27.6,3.7,2.1
Q-111,202.1,74.0,25.4,4.5,1.7
Q-112,202.4,75.2,24.1,5.5,1.6
Q-113,202.7,71.6,20.9,3.5,1.7
Q-114,203.9,73.2,23.0,4.1,1.5
Q-115,204.2,5.7,71.4,32.5,1.6
Q-116,204.5,69.9,25.3,3.8,1.7
Q-117,204.6,74.7,30.5,4.1,1.7
Q-118,205.1,73.0,18.7,3.1,1.6
Q-119,205.3,71.4,64.5,30.8,1.7
Q-120,206.2,71.1,68.1,27.7,1.6
Q-121,206.4,70.2,22.2,7.3,1.7
Q-122,207.1,72.1,24.7,4.2,1.6
Q-123,207.4,69.8,64.7,25.6,1.6
Q-124,207.4,77.8,23.6,4.7,1.5
Q-125,207.9,31.5,26.5,8.6,2.0
Q-126,207.9,73.5,20.4,4.9,1.7
Q-127,208.9,71.1,62.9,27.2,1.7
Q-128,208.9,66.0,26.9,5.0,1.7
Q-129,209.2,72.0,68.6,25.5,1.7
Q-130,209.2,69.6,27.3,5.0,1.6
Q-131,210.1,73.7,19.9,4.1,1.6
Q-132,210.4,70.0,29.1,4.5,2.9
Q-133,210.5,68.4,26.2,3.8,1.7
Q-134,211.3,73.5,20.9,4.3,1.6
Q-135,211.4,48.7,44.3,19.3,1.7
Q-136,211.7,73.1,25.1,3.5,1.6
Q-137,212.4,47.5,42.7,15.6,1.7
Q-138,212.5,18.2,19.1,3.1,2.3
Q-139,213.8,68.4,21.5,4.9,1.7
Q-140,214.6,71.5,24.4,3.1,2.1
Q-141,214.6,70.2,17.7,3.5,1.5
Q-142,216.3,66.9,23.2,4.5,2.0
Q-143,216.5,71.5,25.6,4.3,1.6
Q-144,216.7,72.7,22.0,5.3,2.2
Q-145,216.8,72.1,27.7,3.6,2.1
Q-146,216.9,72.4,24.1,3.8,1.8
Q-147,217.1,45.8,49.5,18.4,1.5
Q-148,218.6,72.5,27.8,4.0,1.5
Q-149,218.8,65.4,26.0,3.5,1.9
Q-150,219.0,48.6,43.5,17.3,1.5
Q-151,219.4,74.0,21.5,3.5,1.6
Q-152,220.1,66.5,22.2,3.3,1.8
Q-153,220.2,72.7,24.6,3.8,1.6
Q-154,220.5,68.7,21.7,3.5,1.6
Q-155,220.5,66.7,27.2,5.8,2.6
Q-156,220.5,81.3,30.5,29.2,1.7
Q-157,221.3,72.6,23.6,4.3,1.8
Q-158,222.1,67.6,26.9,3.5,1.6
Q-159,223.4,69.5,20.2,7.2,1.7
Q-160,223.5,75.4,25.8,4.0,2.1
Q-161,223.7,68.1,27.6,5.1,1.7
Q-162,223.9,38.5,36.9,9.4,2.2
Q-163,223.9,54.1,32.5,29.9,2.0
Q-164,224.8,65.6,38.2,6.1,1.6
Q-165,225.0,71.4,26.8,5.9,1.6
Q-166,225.4,71.1,24.4,4.7,1.7
Q-167,225.7,77.9,29.4,7.5,1.6
Q-168,225.8,74.4,24.9,5.1,1.7
Q-169,226.4,73.7,27.4,7.5,1.7
Q-170,226.5,79.9,68.0,31.8,1.9
Q-171,227.0,74.3,20.5,4.9,1.6
Q-172,227.2,77.7,26.8,19.4,3.2
Q-173,227.4,73.9,27.2,3.3,2.2
Q-174,227.5,71.1,29.0,5.6,1.6
Q-175,228.0,74.7,28.7,5.0,1.6
Q-176,228.2,74.7,23.4,4.2,2.3
Q-177,228.7,20.2,22.9,6.5,2.9
Q-178,229.0,66.1,54.7,24.8,2.5
Q-179,229.1,72.2,34.8,3.1,1.6
Q-180,229.3,77.9,23.3,6.4,1.5
Q-181,235.4,42.9,41.7,18.1,2.9
Q-182,243.1,75.6,70.4,26.3,1.6
Q-183,244.1,77.3,4.7,11.4,1.7
Q-184,246.7,50.2,9.0,4.9,1.7
Q-185,247.8,32.3,31.1,7.8,1.7
Q-186,251.1,7.9,87.7,30.1,1.5
Q-187,252.5,8.4,97.8,31.6,2.6
Q-188,253.7,63.2,60.6,31.2,2.6
Q-189,256.5,35.3,40.9,10.0,1.6
Q-190,260.9,43.2,37.1,15.1,2.0
Q-191,261.8,82.6,27.2,15.4,1.6
Q-192,263.0,64.9,66.0,26.4,2.1
Q-193,263.5,47.6,46.1,16.7,1.7
Q-194,264.4,26.9,22.6,6.5,1.8
Q-195,265.2,33.8,43.4,37.2,1.5
Q-196,268.8,64.3,63.6,22.6,1.9
Q-197,269.1,39.1,32.3,15.0,2.3
Q-198,271.4,47.1,47.2,14.9,2.6
Q-199,271.5,57.9,8.5,7.5,1.8
Q-200,272.3,46.9,49.8,17.3,1.6
Q-201,274.8,25.6,7.0,6.0,3.4
Q-202,276.4,72.5,67.3,26.3,2.5
Q-203,287.0,17.9,16.4,3.7,1.6
Q-204,288.8,41.5,46.3,24.1,2.2
Q-205,296.5,41.6,41.4,14.8,1.5
Q-206,298.3,15.6,22.2,2.2,1.7
Q-207,300.0,72.6,66.0,30.4,1.5
Q-208,301.7,85.1,60.4,22.4,
Q-209,302.3,33.1,34.6,9.4,1.5
Q-210,303.1,71.3,37.6,5.3,1.8
Q-211,305.5,73.4,66.9,27.3,1.6
Q-212,310.2,26.7,28.8,7.3,3.3
Q-213,312.6,80.9,80.2,30.4,1.7
Q-214,312.8,52.5,51.3,18.0,2.0
Q-215,315.6,21.8,20.2,4.0,1.9
Q-216,319.1,45.0,41.3,20.2,1.6
Q-217,319.6,48.8,19.9,30.9,2.4
Q-218,320.3,30.3,22.2,10.4,2.3
Q-219,324.6,34.8,38.7,10.4,1.5
Q-220,326.5,30.4,29.5,7.4,2.3
Q-221,326.5,64.3,63.8,25.4,1.6
Q-222,327.7,15.4,16.3,6.6,2.3
Q-223,331.9,72.0,72.1,28.8,1.7
Q-224,332.0,59.0,57.4,20.4,1.8
Q-225,333.1,38.1,29.3,11.4,1.5
Q-226,333.9,49.8,45.7,18.4,1.7
Q-227,334.9,18.1,17.3,4.2,2.1
Q-228,335.4,59.3,52.0,21.2,1.6
Q-229,336.4,22.2,21.6,8.0,1.7
Q-230,339.4,51.6,46.8,18.7,2.3
Q-231,340.6,33.7,38.7,11.6,2.4
Q-232,341.1,67.4,63.8,24.0,2.0
Q-233,343.4,72.1,66.9,24.2,1.6
Q-234,349.9,53.1,45.0,36.0,1.7
Q-235,350.6,75.9,64.6,33.5,2.0
Q-236,353.8,21.1,22.1,8.0,1.6
Q-237,355.5,66.0,69.6,23.4,2.7
Q-238,362.8,31.3,28.1,8.5,1.6
Q-239,364.3,74.9,66.5,28.7,2.2
Q-240,364.9,21.6,54.7,4.3,2.2
