date,habit
2025-12-22,Morning run
2025-12-22,Read 20 pages
2025-12-22,Strength training
2025-12-23,Read 20 pages
2025-12-23,Spanish lesson
2025-12-24,Morning run
2025-12-24,Read 20 pages
2025-12-24,Strength training
2025-12-25,Read 20 pages
2025-12-25,Spanish lesson
2025-12-26,Read 20 pages
2025-12-26,Strength training
2025-12-27,Read 20 pages
2025-12-27,Spanish lesson
2025-12-28,Read 20 pages
2025-12-29,Morning run
2025-12-29,Read 20 pages
2025-12-30,Read 20 pages
2025-12-30,Spanish lesson
2025-12-30,Strength training
2025-12-31,Morning run
2026-01-01,Read 20 pages
2026-01-01,Spanish lesson
2026-01-01,Strength training
2026-01-02,Morning run
2026-01-02,Read 20 pages
2026-01-03,Read 20 pages
2026-01-03,Strength training
2026-01-04,Read 20 pages
2026-01-05,Morning run
2026-01-05,Read 20 pages
2026-01-05,Strength training
2026-01-06,Read 20 pages
2026-01-06,Spanish lesson
2026-01-07,Morning run
2026-01-07,Read 20 pages
2026-01-08,Read 20 pages
2026-01-08,Spanish lesson
2026-01-08,Strength training
2026-01-09,Morning run
2026-01-09,Read 20 pages
2026-01-10,Read 20 pages
2026-01-10,Spanish lesson
2026-01-10,Strength training
2026-01-11,Read 20 pages
2026-01-12,Morning run
2026-01-12,Read 20 pages
2026-01-12,Strength training
2026-01-13,Read 20 pages
2026-01-14,Yoga
2026-01-13,Spanish lesson
2026-01-13,Strength training
2026-01-14,Morning run
2026-01-14,Read 20 pages
2026-01-15,Read 20 pages
2026-01-15,Spanish lesson
2026-01-15,Strength training
2026-01-16,Morning run
2026-01-16,Read 20 pages
2026-01-17,Read 20 pages
2026-01-17,Spanish lesson
2026-01-17,Strength training
2026-01-19,Read 20 pages
2026-01-20,Read 20 pages
2026-01-20,Spanish lesson
2026-01-20,Strength training
2026-01-21,morning run
2026-01-21,Read 20 pages
2026-01-22,Read 20 pages
2026-01-22,Spanish lesson
2026-01-22,Strength training
2026-01-23,Morning run
2026-01-23,Read 20 pages
2026-01-24,Read 20 pages
2026-01-24,Spanish lesson
2026-01-25,Read 20 pages
2026-01-25,Strength training
2026-01-26,Morning run
2026-01-26,Read 20 pages
2026-01-26,Strength training
2026-01-27,Read 20 pages
2026-01-27,Spanish lesson
2026-01-28,Morning run
2026-01-28,Read 20 pages
2026-01-28,Strength training
2026-01-29,Read 20 pages
2026-01-30,Morning run
2026-01-30,Read 20 pages
2026-01-31,Read 20 pages
2026-01-31,Spanish lesson
2026-01-31,Strength training
2026-02-01,Read 20 pages
2026-02-02,Morning run
2026-02-03,Read 20 pages
2026-02-03,Spanish lesson
2026-02-04,Morning run
2026-02-04,Read 20 pages
2026-02-04,Strength training
2026-02-05,Read 20 pages
2026-02-05,Spanish lesson
2026-02-06,Morning run
2026-02-06,Read 20 pages
2026-02-07,Read 20 pages
2026-02-07,Spanish lesson
2026-02-08,Read 20 pages
2026-02-09,Morning run
2026-02-09,Strength training
2026-02-10,Read 20 pages
2026-02-10,Spanish lesson
2026-02-11,Read 20 pages
2026-02-11,Strength training
2026-02-12,Read 20 pages
2026-02-12,Spanish lesson
2026-02-12,Spanish lesson
2026-02-13,Morning run
2026-02-13,Read 20 pages
2026-02-13,Strength training
2026-02-14,Read 20 pages
2026-02-14,Spanish lesson
2026-02-15,Read 20 pages
2026-02-16,Morning run
2026-02-16,Read 20 pages
2026-02-17,Read 20 pages
2026-02-17,Spanish lesson
2026-02-17,Strength training
2026-02-18,Morning run
2026-02-18,Read 20 pages
2026-02-19,Read 20 pages
2026-02-19,Spanish lesson
2026-02-20,Morning run
2026-02-20,Read 20 pages
2026-02-20,Strength training
2026-02-21,Spanish lesson
2026-02-22,Read 20 pages
2026-02-22,Strength training
2026-02-23,Morning run
2026-02-23,Read 20 pages
2026-02-23,Strength training
2026-02-24,Read 20 pages
2026-02-25,Morning run
2026-02-25,Read 20 pages
2026-02-25,Strength training
2026-02-26,Read 20 pages
 2026-02-26 , Spanish lesson 
2026-02-27,Morning run
2026-02-27,Read 20 pages
2026-02-28,Read 20 pages
2026-02-30,Read 20 pages
2026-02-28,Spanish lesson
2026-02-28,Strength training
2026-03-01,Read 20 pages

2026-03-02,Read 20 pages
2026-03-03,Read 20 pages
2026-03-03,Spanish lesson
2026-03-03,Strength training
2026-03-04,Morning run
2026-03-04,Read 20 pages
2026-03-05,Spanish lesson
2026-03-05,Strength training
2026-03-06,Morning run
2026-03-06,Read 20 pages
2026-03-07,Read 20 pages
2026-03-07,Spanish lesson
2026-03-07,Strength training
2026-03-08,Read 20 pages
2026-03-09,Morning run
2026-03-09,Read 20 pages
2026-03-09,Strength training
2026-03-10,Read 20 pages
2026-03-11,Morning run
2026-03-11,Read 20 pages
2026-03-12,Read 20 pages
2026-03-12,Spanish lesson
2026-03-12,Strength training
2026-03-13,Morning run
2026-03-13,Read 20 pages
2026-03-14,Read 20 pages
2026-03-14,Spanish lesson
2026-03-14,Morning run
2026-03-16,Read 20 pages
