round,home,away,home_goals,away_goals
1,Ashford Albion,Fenwick Town,1,3
1,Bramley Rovers,Elmwood Athletic,3,0
1,Cobalt City,Dockside United,3,2
2,Elmwood Athletic,Ashford Albion,0,1
3,Fenwick Town,Ashford Albion,2,0
2,Fenwick Town,Dockside United,1,2
2,Bramley Rovers,Cobalt City,1,1
3,Ashford Albion,Dockside United,0,3
3,Elmwood Athletic,Cobalt City,1,0
3,Fenwick Town,Bramley Rovers,4,0
4,Cobalt City,Ashford Albion,1,0
7,Ashford Albion,Elmwood Athletic,1,x
4,Dockside United,Bramley Rovers,4,1
4,Elmwood Athletic,Fenwick Town,1,0
5,Ashford Albion,Bramley Rovers,0,1
5,Cobalt City,Fenwick Town,2,3
5,Dockside United,Elmwood Athletic,1,2
6,Fenwick Town,Ashford Albion,0,1
6,Elmwood Athletic,Bramley Rovers,0,1
6,Dockside United,Cobalt City,1,2
6,Fenwick Town,Ashford Albion,2,2
