month,segment,new_arr_k,expansion_arr_k,contraction_arr_k,churned_arr_k
2024-07,Enterprise,241,118,37,25
2024-07,Mid-Market,114,66,12,52
2024-07,SMB,97,21,9,45
2024-08,Enterprise,216,71,12,26
2024-08,Mid-Market,182,29,10,42
2024-08,SMB,75,18,6,76
2024-09,Enterprise,224,99,13,38
2024-09,Mid-Market,185,73,22,42
2024-09,SMB,122,17,13,77
2024-10,Enterprise,191,74,19,24
2024-10,Mid-Market,189,42,28,60
2024-10,SMB,103,21,8,56
2024-11,Enterprise,190,124,24,24
2024-11,Mid-Market,184,48,10,58
2024-11,SMB,83,9,10,70
2024-12,Enterprise,198,76,23,34
2024-12,Mid-Market,128,74,11,47
2024-12,SMB,108,18,5,74
2025-01,Enterprise,275,77,30,36
2025-01,Mid-Market,157,31,26,58
2025-01,SMB,117,17,10,62
2025-02,Enterprise,274,126,16,16
2025-02,Mid-Market,143,61,10,48
2025-02,SMB,123,12,4,72
2025-03,Enterprise,206,99,27,26
2025-03,Mid-Market,153,57,13,65
2025-03,SMB,84,19,14,62
2025-04,Enterprise,178,134,22,33
2025-04,Mid-Market,135,70,13,30
2025-04,SMB,102,12,14,79
2025-05,Enterprise,211,81,22,31
2025-05,Mid-Market,183,44,14,45
2025-05,SMB,107,17,13,40
2025-06,Enterprise,286,138,19,20
2025-06,Mid-Market,176,78,29,32
2025-06,SMB,83,18,10,78
2025-07,Enterprise,295,92,21,39
2025-07,Mid-Market,173,53,28,62
2025-07,SMB,107,15,8,55
2025-08,Enterprise,267,74,20,50
2025-08,Mid-Market,200,57,22,37
2025-08,SMB,94,16,11,74
2025-09,Enterprise,274,71,11,43
2025-09,Mid-Market,134,57,13,43
2025-09,SMB,133,16,15,62
2025-10,Enterprise,210,110,29,12
2025-10,Mid-Market,230,84,26,62
2025-10,SMB,95,19,4,46
2025-11,Enterprise,216,124,35,225
2025-11,Mid-Market,227,52,16,44
2025-11,SMB,122,23,5,56
2025-12,Enterprise,321,130,26,42
2025-12,Mid-Market,187,48,22,64
2025-12,SMB,131,17,15,75
2026-01,Enterprise,237,124,11,34
2026-01,Mid-Market,187,85,28,60
2026-01,SMB,114,10,11,67
2026-02,Enterprise,270,81,29,29
2026-02,Mid-Market,224,36,13,134
2026-02,SMB,136,23,5,76
2026-03,Enterprise,245,125,17,34
2026-03,Mid-Market,208,61,15,35
2026-03,SMB,101,10,14,58
2026-04,Enterprise,340,148,34,29
2026-04,Mid-Market,169,70,19,48
2026-04,SMB,156,21,8,44
2026-05,Enterprise,309,140,35,19
2026-05,Mid-Market,200,88,18,38
2026-05,SMB,159,18,9,71
2026-06,Enterprise,270,148,30,47
2026-06,Mid-Market,197,38,13,59
2026-06,SMB,164,11,10,38
