site,month,capacity_mw_ac,poa_irradiance_kwh_m2,expected_mwh,actual_mwh,availability_pct
Sagebrush Flats,2025-01,120,157.9,15348,14800,99.26
Sagebrush Flats,2025-02,120,168.7,16398,15803,99.12
Sagebrush Flats,2025-03,120,223.1,21685,19191,99.13
Sagebrush Flats,2025-04,120,242.6,23581,21407,98.99
Sagebrush Flats,2025-05,120,270.8,26322,24047,99.33
Sagebrush Flats,2025-06,120,276.3,26856,23751,98.60
Sagebrush Flats,2025-07,120,254.7,24757,23722,99.27
Sagebrush Flats,2025-08,120,245.5,23863,22944,98.82
Sagebrush Flats,2025-09,120,225.2,21889,21001,98.63
Sagebrush Flats,2025-10,120,196.7,19119,18340,98.79
Sagebrush Flats,2025-11,120,168.2,16349,15715,99.01
Sagebrush Flats,2025-12,120,139.7,13579,13045,99.02
Coyote Ridge,2025-01,80,151.4,9811,9526,99.46
Coyote Ridge,2025-02,80,168.8,10938,10580,98.71
Coyote Ridge,2025-03,80,210.9,13666,13214,99.39
Coyote Ridge,2025-04,80,244.0,15811,15369,99.66
Coyote Ridge,2025-05,80,259.5,16816,16271,99.40
Coyote Ridge,2025-06,80,267.4,17328,16787,99.47
Coyote Ridge,2025-07,80,249.7,16181,15446,98.67
Coyote Ridge,2025-08,80,232.3,15053,13702,93.92
Coyote Ridge,2025-09,80,207.4,13440,12946,99.22
Coyote Ridge,2025-10,80,192.3,12461,12104,99.23
Coyote Ridge,2025-11,80,152.4,9876,9515,98.73
Coyote Ridge,2025-12,80,134.4,8709,8392,98.85
Pinon Basin,2025-01,95,146.6,11281,10969,99.77
Pinon Basin,2025-02,95,170.3,13105,12779,99.43
Pinon Basin,2025-03,95,215.7,16598,16009,99.10
Pinon Basin,2025-04,95,242.6,18668,18081,99.57
Pinon Basin,2025-05,95,263.8,20299,19483,98.92
Pinon Basin,2025-06,95,280.5,21584,20924,98.93
Pinon Basin,2025-07,95,253.6,19515,14970,80.27
Pinon Basin,2025-08,95,241.4,18576,18051,98.93
Pinon Basin,2025-09,95,212.4,16344,15761,99.07
Pinon Basin,2025-10,95,190.4,14651,14100,98.85
Pinon Basin,2025-11,95,161.5,12427,11944,99.02
Pinon Basin,2025-12,95,137.6,10588,10127,98.42
Red Cliffs,2025-01,60,136.7,6644,6439,99.18
Red Cliffs,2025-02,60,157.1,7635,7369,99.01
Red Cliffs,2025-03,60,196.0,9526,9170,98.58
Red Cliffs,2025-04,60,223.3,10852,10464,99.08
Red Cliffs,2025-05,60,255.4,12412,11599,98.84
Red Cliffs,2025-06,60,255.2,12403,11493,98.56
Red Cliffs,2025-07,60,233.4,11343,10617,98.81
Red Cliffs,2025-08,60,222.6,10818,10013,98.90
Red Cliffs,2025-09,60,204.1,9919,9209,98.84
Red Cliffs,2025-10,60,183.4,8913,8582,99.41
Red Cliffs,2025-11,60,150.3,7305,7001,98.44
Red Cliffs,2025-12,60,135.3,6576,6338,98.88
