dc,month,orders,on_time_orders,freight_cost_usd,warehouse_cost_usd,avg_miles,avg_transit_days
Reno,2025-01,16917,16180,166291,68614,720,4.29
Reno,2025-02,15656,15063,130278,62088,627,4.05
Reno,2025-03,18757,18142,164790,79658,640,3.97
Reno,2025-04,19681,18901,210617,79334,769,4.53
Reno,2025-05,19848,18972,177162,81908,668,4.54
Reno,2025-06,20227,19417,188866,80980,704,4.20
Reno,2025-07,20737,19925,188464,83660,669,4.38
Reno,2025-08,21618,20865,194078,91294,658,4.32
Reno,2025-09,21267,20387,221992,88988,770,4.59
Reno,2025-10,21485,20644,186432,88603,627,4.22
Reno,2025-11,27889,26139,311698,125339,756,5.10
Reno,2025-12,30834,28802,318468,141303,721,4.96
Dallas,2025-01,22050,21144,191834,80451,584,3.72
Dallas,2025-02,19683,16974,145441,72379,506,3.60
Dallas,2025-03,22966,21748,178657,82342,532,3.86
Dallas,2025-04,24767,23705,213708,88557,583,4.12
Dallas,2025-05,25603,24506,225951,90194,600,3.71
Dallas,2025-06,24504,23297,198283,87642,556,3.56
Dallas,2025-07,25369,24153,228152,92188,599,4.09
Dallas,2025-08,26967,25453,245262,99395,593,4.12
Dallas,2025-09,25953,24639,188777,90197,498,3.52
Dallas,2025-10,27272,25763,208724,95440,526,3.26
Dallas,2025-11,32568,30193,270387,125343,509,3.99
Dallas,2025-12,36698,33526,333825,151057,550,3.68
Columbus,2025-01,19613,18392,155445,84673,561,3.47
Columbus,2025-02,19336,18032,152486,82673,552,4.02
Columbus,2025-03,21693,20184,196005,96947,620,4.40
Columbus,2025-04,21787,20390,177775,98003,571,4.00
Columbus,2025-05,23119,21583,221553,104214,658,4.60
Columbus,2025-06,23526,22158,192591,99614,579,3.86
Columbus,2025-07,22181,20727,189810,97184,584,4.01
Columbus,2025-08,25049,23692,237806,107807,677,4.27
Columbus,2025-09,23039,21502,212245,101205,633,4.41
Columbus,2025-10,25829,24312,211365,116214,560,3.86
Columbus,2025-11,31488,28429,286166,156070,596,4.39
Columbus,2025-12,35687,31416,349309,168165,627,4.66
Atlanta,2025-01,14604,13895,119498,58443,517,3.74
Atlanta,2025-02,15123,14511,109760,56688,459,3.25
Atlanta,2025-03,17434,16726,133938,70015,477,3.61
Atlanta,2025-04,17766,16920,126981,69767,449,3.02
Atlanta,2025-05,17694,16910,123936,68776,437,3.39
Atlanta,2025-06,17721,17074,133547,69288,466,3.55
Atlanta,2025-07,17987,17075,132350,71828,469,3.05
Atlanta,2025-08,17894,17117,142592,69889,498,3.46
Atlanta,2025-09,18417,17709,127298,70544,434,3.13
Atlanta,2025-10,20144,19261,160555,78205,481,3.51
Atlanta,2025-11,23946,22397,206412,103002,495,3.79
Atlanta,2025-12,26212,24353,242002,110287,515,4.02
