month,frequent_k,local_k,express_k
2019-01,565.3,321.0,65.8
2019-02,595.2,335.8,68.3
2019-03,633.0,350.3,76.6
2019-04,640.2,349.6,75.8
2019-05,662.7,371.7,77.8
2019-06,607.3,339.1,72.5
2019-07,583.1,336.7,67.1
2019-08,635.1,353.3,74.3
2019-09,686.2,373.8,76.1
2019-10,670.6,381.5,79.0
2019-11,617.9,361.1,73.1
2019-12,590.6,318.9,66.2
2025-01,476.5,223.2,29.2
2025-02,507.0,232.0,31.3
2025-03,574.0,252.4,33.6
2025-04,546.4,258.4,34.6
2025-05,566.0,268.8,34.3
2025-06,523.9,251.6,32.2
2025-07,514.6,240.0,31.2
2025-08,552.1,254.0,33.3
2025-09,599.9,270.4,35.1
2025-10,595.1,273.5,36.9
2025-11,562.5,265.2,34.2
2025-12,530.4,247.4,30.8
2026-01,526.6,248.4,32.7
2026-02,565.1,267.2,33.8
2026-03,636.8,281.4,38.3
2026-04,605.2,294.8,36.3
2026-05,654.4,302.7,39.8
2026-06,599.0,273.7,37.2
2026-07,577.9,264.7,35.4
2026-08,613.1,286.6,36.4
