hotel,month,compset_rooms_available,compset_rooms_sold,compset_room_revenue_usd
Harbourside,2025-01,34100,22324,4914402
Old Town,2025-01,26040,18332,4566546
Airport,2025-01,32240,25013,3749592
Riverside,2025-01,27900,16258,2656129
Midtown,2025-01,46500,36043,7506177
Harbourside,2025-02,30800,20936,4835019
Old Town,2025-02,15680,11132,2856828
Airport,2025-02,43680,33365,4872544
Riverside,2025-02,30240,18216,3109345
Midtown,2025-02,50400,36059,7510671
Harbourside,2025-03,34100,24526,6098750
Old Town,2025-03,26040,20180,5571606
Airport,2025-03,40300,30003,4119445
Riverside,2025-03,22320,14650,2646573
Midtown,2025-03,46500,32678,6134157
Harbourside,2025-04,39600,31405,8652576
Old Town,2025-04,21000,16427,4900443
Airport,2025-04,46800,35982,4937741
Riverside,2025-04,21600,15439,3031822
Midtown,2025-04,54000,36535,7258073
Harbourside,2025-05,40920,33240,9592738
Old Town,2025-05,26040,22015,6436737
Airport,2025-05,32240,25182,3842818
Riverside,2025-05,27900,22229,4626203
Midtown,2025-05,37200,25964,5010874
Harbourside,2025-06,33000,28575,8607615
Old Town,2025-06,16800,13940,4169392
Airport,2025-06,31200,25133,3760431
Riverside,2025-06,32400,26598,5809803
Midtown,2025-06,45000,31118,6360286
Harbourside,2025-07,40920,36802,11428318
Old Town,2025-07,21700,17860,5221329
Airport,2025-07,40300,34117,5306525
Riverside,2025-07,27900,23590,5494314
Midtown,2025-07,46500,35810,7446590
Harbourside,2025-08,27280,23386,7200146
Old Town,2025-08,17360,14142,4062052
Airport,2025-08,48360,40359,6510467
Riverside,2025-08,27900,22689,5146884
Midtown,2025-08,46500,33627,7750919
Harbourside,2025-09,33000,27875,7746424
Old Town,2025-09,21000,15834,4390301
Airport,2025-09,39000,34341,5652971
Riverside,2025-09,27000,21279,4525296
Midtown,2025-09,36000,29277,7263770
Harbourside,2025-10,34100,25660,6818402
Old Town,2025-10,17360,12364,3218164
Airport,2025-10,40300,34392,5599090
Riverside,2025-10,22320,16265,3231884
Midtown,2025-10,46500,38276,9074890
Harbourside,2025-11,33000,22655,5706656
Old Town,2025-11,21000,14371,3530797
Airport,2025-11,39000,33886,5450133
Riverside,2025-11,21600,13939,2587782
Midtown,2025-11,54000,43333,10035570
Harbourside,2025-12,27280,18041,4164463
Old Town,2025-12,26040,17959,4524083
Airport,2025-12,40300,32199,5022496
Riverside,2025-12,33480,19132,3226768
Midtown,2025-12,46500,33380,7743309
