hotel,month,rooms_available,rooms_sold,room_revenue_usd
Harbourside,2024-01,6820,4214,910405
Old Town,2024-01,4340,3065,766822
Airport,2024-01,8060,5821,819519
Riverside,2024-01,5580,2958,471944
Midtown,2024-01,9300,6744,1406536
Harbourside,2024-02,6380,4189,938607
Old Town,2024-02,4060,3098,791455
Airport,2024-02,7540,5340,749573
Riverside,2024-02,5220,2919,486838
Midtown,2024-02,8700,6390,1275910
Harbourside,2024-03,6820,4633,1082974
Old Town,2024-03,4340,3429,924983
Airport,2024-03,8060,5732,803125
Riverside,2024-03,5580,3459,598753
Midtown,2024-03,9300,6345,1179542
Harbourside,2024-04,6600,4900,1257391
Old Town,2024-04,4200,3440,998171
Airport,2024-04,7800,5686,753959
Riverside,2024-04,5400,3816,701785
Midtown,2024-04,9000,6058,1076866
Harbourside,2024-05,6820,5706,1588791
Old Town,2024-05,4340,3579,1060572
Airport,2024-05,8060,5805,798179
Riverside,2024-05,5580,4309,875645
Midtown,2024-05,9300,6391,1220674
Harbourside,2024-06,6600,5769,1708662
Old Town,2024-06,4200,3630,1104695
Airport,2024-06,7800,6150,868049
Riverside,2024-06,5400,4361,947452
Midtown,2024-06,9000,6502,1284559
Harbourside,2024-07,6820,6000,1828895
Old Town,2024-07,4340,3735,1105706
Airport,2024-07,8060,6399,950022
Riverside,2024-07,5580,4498,989478
Midtown,2024-07,9300,7187,1500756
Harbourside,2024-08,6820,6066,1824052
Old Town,2024-08,4340,3522,1022982
Airport,2024-08,8060,6493,1018680
Riverside,2024-08,5580,4427,955723
Midtown,2024-08,9300,6662,1455424
Harbourside,2024-09,6600,5285,1480387
Old Town,2024-09,4200,3340,926104
Airport,2024-09,7800,6284,987924
Riverside,2024-09,5400,4011,787717
Midtown,2024-09,9000,7595,1714928
Harbourside,2024-10,6820,5063,1336708
Old Town,2024-10,4340,3336,882184
Airport,2024-10,8060,6622,1049055
Riverside,2024-10,5580,3850,739432
Midtown,2024-10,9300,7573,1726090
Harbourside,2024-11,6600,4689,1126988
Old Town,2024-11,4200,3052,764627
Airport,2024-11,7800,6209,960863
Riverside,2024-11,5400,3283,566974
Midtown,2024-11,9000,7345,1727949
Harbourside,2024-12,6820,4527,1008915
Old Town,2024-12,4340,3000,732658
Airport,2024-12,8060,6182,902570
Riverside,2024-12,5580,3204,510816
Midtown,2024-12,9300,6453,1443517
Harbourside,2025-01,6820,4586,1043431
Old Town,2025-01,4340,3189,851144
Airport,2025-01,8060,6215,924852
Riverside,2025-01,5580,3189,510607
Midtown,2025-01,9300,7119,1516121
Harbourside,2025-02,6160,4234,978169
Old Town,2025-02,3920,2993,812301
Airport,2025-02,7280,5448,789320
Riverside,2025-02,5040,3006,514978
Midtown,2025-02,8400,5945,1227352
Harbourside,2025-03,6820,4924,1230326
Old Town,2025-03,4340,3471,1019216
Airport,2025-03,8060,5983,819924
Riverside,2025-03,5580,3687,677990
Midtown,2025-03,9300,6633,1264128
Harbourside,2025-04,6600,5308,1455937
Old Town,2025-04,4200,3446,1056494
Airport,2025-04,7800,5913,807398
Riverside,2025-04,5400,3825,742928
Midtown,2025-04,9000,6103,1194187
Harbourside,2025-05,6820,5743,1715706
Old Town,2025-05,4340,3787,1178062
Airport,2025-05,8060,6099,892288
Riverside,2025-05,5580,4399,932977
Midtown,2025-05,9300,6414,1270427
Harbourside,2025-06,6600,5899,1832282
Old Town,2025-06,4200,3638,1145349
Airport,2025-06,7800,6246,919679
Riverside,2025-06,5400,4402,956267
Midtown,2025-06,9000,6366,1275954
Harbourside,2025-07,6820,6339,2034353
Old Town,2025-07,4340,3766,1179081
Airport,2025-07,8060,6769,1044490
Riverside,2025-07,5580,4746,1088259
Midtown,2025-07,9300,7219,1539106
Harbourside,2025-08,6820,5983,1866496
Old Town,2025-08,4340,3680,1119448
Airport,2025-08,8060,6636,1052215
Riverside,2025-08,5580,4638,1033548
Midtown,2025-08,9300,6884,1596442
Harbourside,2025-09,6600,5565,1613996
Old Town,2025-09,4200,3349,984264
Airport,2025-09,7800,6723,1052708
Riverside,2025-09,5400,4219,879095
Midtown,2025-09,9000,7544,1845343
Harbourside,2025-10,6820,5197,1432673
Old Town,2025-10,4340,3306,888137
Airport,2025-10,8060,6822,1078298
Riverside,2025-10,5580,4013,780543
Midtown,2025-10,9300,7714,1845293
Harbourside,2025-11,6600,4690,1183845
Old Town,2025-11,4200,3046,790923
Airport,2025-11,7800,6536,1007914
Riverside,2025-11,5400,3402,633238
Midtown,2025-11,9000,7391,1733420
Harbourside,2025-12,6820,4509,1050727
Old Town,2025-12,4340,3081,794562
Airport,2025-12,8060,6178,954597
Riverside,2025-12,5580,3260,556774
Midtown,2025-12,9300,6756,1555471
