date,variant,platform,user_type,checkout_sessions,orders,revenue_usd
2026-09-01,control,iOS,New,113,31,2712.90
2026-09-01,control,iOS,Returning,196,65,5774.34
2026-09-01,control,Android,New,96,13,1109.33
2026-09-01,control,Android,Returning,169,60,5798.79
2026-09-01,control,Web,New,75,19,1500.98
2026-09-01,control,Web,Returning,121,50,4477.98
2026-09-01,treatment,iOS,New,117,28,2482.32
2026-09-01,treatment,iOS,Returning,196,70,5919.46
2026-09-01,treatment,Android,New,99,15,1246.61
2026-09-01,treatment,Android,Returning,160,60,5519.06
2026-09-01,treatment,Web,New,72,20,1760.69
2026-09-01,treatment,Web,Returning,115,33,2703.68
2026-09-02,control,iOS,New,111,20,1555.50
2026-09-02,control,iOS,Returning,180,59,5381.20
2026-09-02,control,Android,New,103,21,1740.72
2026-09-02,control,Android,Returning,170,68,5841.03
2026-09-02,control,Web,New,71,11,1015.15
2026-09-02,control,Web,Returning,117,34,2905.37
2026-09-02,treatment,iOS,New,120,35,2535.43
2026-09-02,treatment,iOS,Returning,194,80,6477.82
2026-09-02,treatment,Android,New,104,22,1915.75
2026-09-02,treatment,Android,Returning,164,51,4313.30
2026-09-02,treatment,Web,New,73,13,943.96
2026-09-02,treatment,Web,Returning,117,38,3352.09
2026-09-03,control,iOS,New,129,33,2599.29
2026-09-03,control,iOS,Returning,203,61,5044.80
2026-09-03,control,Android,New,116,23,2329.32
2026-09-03,control,Android,Returning,188,56,4967.85
2026-09-03,control,Web,New,79,15,1478.61
2026-09-03,control,Web,Returning,125,44,4130.55
2026-09-03,treatment,iOS,New,128,40,3290.44
2026-09-03,treatment,iOS,Returning,209,77,6546.99
2026-09-03,treatment,Android,New,117,26,2360.72
2026-09-03,treatment,Android,Returning,188,69,5480.89
2026-09-03,treatment,Web,New,78,15,1283.81
2026-09-03,treatment,Web,Returning,129,45,3981.27
2026-09-04,control,iOS,New,118,30,2696.01
2026-09-04,control,iOS,Returning,198,70,6078.03
2026-09-04,control,Android,New,106,26,2034.68
2026-09-04,control,Android,Returning,163,59,4694.97
2026-09-04,control,Web,New,74,7,390.28
2026-09-04,control,Web,Returning,119,33,2771.91
2026-09-04,treatment,iOS,New,118,22,1981.44
2026-09-04,treatment,iOS,Returning,195,72,6081.02
