subscriber_id,start_month,channel,promo_code,monthly_price_usd,last_paid_month
LX00001,2025-10,Referral,,12.99,2025-10
LX00002,2025-10,Paid social,,12.99,2025-11
LX00003,2025-10,Organic,,12.99,2025-10
LX00004,2025-10,Paid social,,12.99,2025-10
LX00005,2025-10,Organic,,12.99,2026-01
LX00006,2025-10,Paid social,,12.99,2026-04
LX00007,2025-10,Organic,,12.99,2026-09
LX00008,2025-10,Paid social,,12.99,2025-12
LX00009,2025-10,Organic,,12.99,2026-09
LX00010,2025-10,Organic,,12.99,2025-10
LX00011,2025-10,Organic,,12.99,2026-08
LX00012,2025-10,Organic,,12.99,2026-05
LX00013,2025-10,Paid social,,12.99,2026-01
LX00014,2025-10,Organic,,12.99,2025-10
LX00015,2025-10,Referral,,12.99,2025-11
LX00016,2025-10,Organic,,12.99,2025-11
LX00017,2025-10,Paid social,,12.99,2026-04
LX00018,2025-10,Organic,,12.99,2026-09
LX00019,2025-10,Paid social,,12.99,2026-09
LX00020,2025-10,Organic,,12.99,2026-04
LX00021,2025-10,Paid social,,12.99,2025-11
LX00022,2025-10,Referral,,12.99,2026-04
LX00023,2025-10,Paid social,,12.99,2026-04
LX00024,2025-10,Organic,,12.99,2026-03
LX00025,2025-10,Paid social,,12.99,2025-10
LX00026,2025-10,Paid social,,12.99,2026-09
LX00027,2025-10,Organic,,12.99,2025-10
LX00028,2025-10,Paid social,,12.99,2025-11
LX00029,2025-10,Organic,,12.99,2026-02
LX00030,2025-10,Organic,,12.99,2026-09
LX00031,2025-10,Referral,,12.99,2026-07
LX00032,2025-10,Organic,,12.99,2025-10
LX00033,2025-10,Paid social,,12.99,2025-11
LX00034,2025-10,Organic,,12.99,2026-03
LX00035,2025-10,Paid social,,12.99,2026-07
LX00036,2025-10,Organic,,12.99,2025-12
LX00037,2025-10,Organic,,12.99,2025-11
LX00038,2025-10,Referral,,12.99,2025-12
LX00039,2025-10,Referral,,12.99,2026-09
LX00040,2025-10,Organic,,12.99,2026-08
LX00041,2025-10,Organic,,12.99,2026-09
LX00042,2025-10,Organic,,12.99,2026-01
LX00043,2025-10,Paid social,,12.99,2025-10
LX00044,2025-10,Organic,,12.99,2025-10
LX00045,2025-10,Paid social,,12.99,2025-12
LX00046,2025-10,Organic,,12.99,2025-12
LX00047,2025-10,Organic,,12.99,2026-04
LX00048,2025-10,Organic,,12.99,2025-10
LX00049,2025-10,Paid social,,12.99,2025-10
LX00050,2025-10,Organic,,12.99,2026-02
LX00051,2025-10,Referral,,12.99,2026-06
LX00052,2025-10,Organic,,12.99,2025-10
LX00053,2025-10,Organic,,12.99,2026-01
LX00054,2025-10,Paid social,,12.99,2025-10
LX00055,2025-10,Referral,,12.99,2026-09
LX00056,2025-10,Organic,,12.99,2025-11
LX00057,2025-10,Organic,,12.99,2025-11
LX00058,2025-10,Referral,,12.99,2026-09
LX00059,2025-10,Organic,,12.99,2025-10
LX00060,2025-10,Paid social,,12.99,2025-10
LX00061,2025-10,Organic,,12.99,2025-12
LX00062,2025-10,Organic,,12.99,2025-10
LX00063,2025-10,Paid social,,12.99,2026-02
LX00064,2025-10,Referral,,12.99,2025-10
LX00065,2025-10,Paid social,,12.99,2026-03
LX00066,2025-10,Organic,,12.99,2026-09
LX00067,2025-10,Paid social,,12.99,2025-10
LX00068,2025-10,Organic,,12.99,2026-09
LX00069,2025-10,Referral,,12.99,2026-09
LX00070,2025-10,Organic,,12.99,2025-12
LX00071,2025-10,Paid social,,12.99,2025-10
LX00072,2025-10,Organic,,12.99,2026-08
LX00073,2025-10,Referral,,12.99,2025-10
LX00074,2025-10,Paid social,,12.99,2026-01
LX00075,2025-10,Paid social,,12.99,2026-09
LX00076,2025-10,Organic,,12.99,2026-08
LX00077,2025-10,Paid social,,12.99,2026-02
LX00078,2025-10,Referral,,12.99,2025-10
LX00079,2025-10,Referral,,12.99,2026-07
LX00080,2025-10,Organic,,12.99,2026-08
LX00081,2025-10,Referral,,12.99,2025-10
LX00082,2025-10,Organic,,12.99,2025-11
LX00083,2025-10,Organic,,12.99,2026-09
LX00084,2025-10,Organic,,12.99,2026-09
LX00085,2025-10,Paid social,,12.99,2025-10
LX00086,2025-10,Organic,,12.99,2026-02
LX00087,2025-10,Organic,,12.99,2025-10
LX00088,2025-10,Organic,,12.99,2025-10
LX00089,2025-10,Referral,,12.99,2026-08
LX00090,2025-10,Paid social,,12.99,2025-10
LX00091,2025-10,Organic,,12.99,2025-10
