date,line,shift,reason,minutes
2026-02-02,L1,A,Quality hold,20
2026-02-02,L1,B,Jam,13
2026-02-02,L1,B,Changeover,30
2026-02-02,L1,B,Label misfeed,7
2026-02-02,L2,A,Changeover,27
2026-02-02,L2,B,Changeover,41
2026-02-02,L2,B,Changeover,28
2026-02-02,L2,B,Changeover,35
2026-02-02,L2,B,Changeover,45
2026-02-02,L3,A,Material shortage,21
2026-02-02,L3,A,Jam,8
2026-02-02,L3,B,Changeover,55
2026-02-02,L3,B,Quality hold,28
2026-02-02,L3,B,Quality hold,38
2026-02-02,L4,A,Quality hold,35
2026-02-02,L4,A,Material shortage,40
2026-02-02,L4,B,Material shortage,40
2026-02-02,L4,B,Electrical fault,42
2026-02-03,L1,A,Changeover,53
2026-02-03,L1,A,Changeover,49
2026-02-03,L1,B,Jam,9
2026-02-03,L2,A,Changeover,47
2026-02-03,L2,A,Changeover,38
2026-02-03,L2,B,Jam,6
2026-02-03,L2,B,Changeover,45
2026-02-03,L2,B,Electrical fault,20
2026-02-03,L3,A,Changeover,33
2026-02-03,L3,B,Label misfeed,3
2026-02-03,L3,B,Jam,8
2026-02-03,L4,A,Material shortage,40
2026-02-03,L4,A,Material shortage,24
2026-02-03,L4,B,Jam,11
2026-02-04,L1,A,Changeover,39
2026-02-04,L1,A,Jam,9
2026-02-04,L1,A,Cleaning overrun,12
2026-02-04,L1,B,Changeover,48
2026-02-04,L1,B,Material shortage,41
2026-02-04,L2,A,Jam,10
2026-02-04,L2,A,Material shortage,45
2026-02-04,L2,A,Jam,6
2026-02-04,L2,B,Jam,9
2026-02-04,L2,B,Sensor fault,13
2026-02-04,L2,B,Changeover,25
2026-02-04,L2,B,Changeover,54
2026-02-04,L3,A,Material shortage,35
2026-02-04,L3,B,Material shortage,22
2026-02-04,L4,A,Changeover,47
2026-02-04,L4,A,Jam,6
2026-02-04,L4,A,Changeover,42
2026-02-04,L4,B,Material shortage,31
2026-02-04,L4,B,Changeover,53
2026-02-05,L1,A,Label misfeed,4
2026-02-05,L1,A,Jam,13
2026-02-05,L1,A,Cleaning overrun,19
2026-02-05,L1,B,Changeover,25
2026-02-05,L2,A,Label misfeed,9
2026-02-05,L2,A,Material shortage,23
2026-02-05,L2,A,Cleaning overrun,21
2026-02-05,L2,A,Changeover,33
2026-02-05,L2,B,Label misfeed,5
2026-02-05,L2,B,Material shortage,20
2026-02-05,L2,B,Jam,8
2026-02-05,L2,B,Jam,11
2026-02-05,L3,A,Material shortage,27
2026-02-05,L4,A,Cleaning overrun,15
2026-02-05,L4,A,Material shortage,26
2026-02-05,L4,B,Changeover,33
2026-02-05,L4,B,Material shortage,37
2026-02-05,L4,B,Material shortage,15
2026-02-06,L1,A,Jam,14
2026-02-06,L1,A,Jam,14
2026-02-06,L1,A,Cleaning overrun,20
2026-02-06,L1,B,Electrical fault,23
2026-02-06,L1,B,Jam,14
2026-02-06,L2,A,Changeover,26
2026-02-06,L2,A,Label misfeed,10
2026-02-06,L2,B,Changeover,28
2026-02-06,L2,B,Changeover,33
2026-02-06,L2,B,Changeover,32
2026-02-06,L3,A,Changeover,49
2026-02-06,L3,A,Quality hold,25
2026-02-06,L3,B,Sensor fault,11
2026-02-06,L3,B,Material shortage,42
2026-02-06,L4,A,Changeover,48
2026-02-06,L4,A,Material shortage,17
2026-02-06,L4,B,Label misfeed,9
2026-02-06,L4,B,Material shortage,16
2026-02-06,L4,B,Material shortage,44
2026-02-09,L1,A,Changeover,37
2026-02-09,L1,A,Changeover,41
2026-02-09,L1,B,Changeover,53
2026-02-09,L1,B,Jam,7
2026-02-09,L2,A,Changeover,42
2026-02-09,L2,A,Changeover,31
2026-02-09,L2,B,Changeover,29
2026-02-09,L2,B,Changeover,32
2026-02-09,L2,B,Changeover,49
2026-02-09,L2,B,Jam,10
2026-02-09,L3,A,Material shortage,32
2026-02-09,L3,A,Material shortage,33
2026-02-09,L3,B,Material shortage,30
2026-02-09,L3,B,Quality hold,36
2026-02-09,L4,A,Electrical fault,53
2026-02-09,L4,A,Cleaning overrun,24
2026-02-09,L4,B,Jam,8
2026-02-09,L4,B,Jam,14
2026-02-09,L4,B,Jam,6
