subgroup,time,w1_g,w2_g,w3_g,w4_g,w5_g
1,2026-02-24 06:00,499.1,498.8,501.9,501.1,501.3
2,2026-02-24 06:30,498.9,499.6,500.8,499.2,501.1
3,2026-02-24 07:00,500.4,498.9,502.4,500.6,498.4
4,2026-02-24 07:30,500.3,502.1,502.0,499.7,499.1
5,2026-02-24 08:00,499.7,500.9,500.4,500.7,499.5
6,2026-02-24 08:30,496.9,501.8,503.2,499.4,500.6
7,2026-02-24 09:00,500.3,501.0,500.5,501.2,501.0
8,2026-02-24 09:30,499.5,499.6,500.5,502.1,500.8
9,2026-02-24 10:00,498.2,499.2,500.8,498.8,500.3
10,2026-02-24 10:30,498.9,499.6,499.0,499.8,499.8
11,2026-02-24 11:00,499.4,499.7,498.3,499.7,501.8
12,2026-02-24 11:30,499.8,500.1,498.5,500.7,500.2
13,2026-02-24 12:00,501.3,500.6,500.5,501.3,499.3
14,2026-02-24 12:30,501.0,501.4,499.3,500.2,500.8
15,2026-02-24 13:00,503.2,501.2,501.8,501.7,499.2
16,2026-02-24 13:30,501.9,500.8,499.6,500.3,501.2
17,2026-02-24 14:00,501.1,500.2,500.0,501.0,502.8
18,2026-02-24 14:30,503.6,502.9,504.1,503.3,502.8
19,2026-02-24 15:00,501.2,501.9,501.9,501.1,502.2
20,2026-02-24 15:30,502.9,501.2,498.5,501.4,499.7
21,2026-02-24 16:00,497.8,501.3,500.0,501.3,497.9
22,2026-02-24 16:30,499.0,499.3,500.4,498.3,500.3
23,2026-02-24 17:00,500.8,497.9,499.3,498.5,500.3
24,2026-02-24 17:30,498.9,501.0,498.3,498.3,498.8
25,2026-02-24 18:00,499.5,499.2,499.1,499.4,500.3
