date,line,shift,planned_minutes,downtime_minutes,total_units,good_units
2026-02-02,L1,A,450,20,45816,45359
2026-02-02,L1,B,450,50,42262,41804
2026-02-02,L2,A,450,27,32207,31728
2026-02-02,L2,B,450,149,22995,22651
2026-02-02,L3,A,450,29,59452,58799
2026-02-02,L3,B,450,121,44962,44481
2026-02-02,L4,A,450,75,18410,18033
2026-02-02,L4,B,450,82,17618,16986
2026-02-03,L1,A,450,102,37669,37197
2026-02-03,L1,B,450,9,46173,45661
2026-02-03,L2,A,450,85,28625,28037
2026-02-03,L2,B,450,71,28551,28122
2026-02-03,L3,A,450,33,56571,56052
2026-02-03,L3,B,450,11,61076,60308
2026-02-03,L4,A,450,64,18884,18432
2026-02-03,L4,B,450,11,20220,19799
2026-02-04,L1,A,450,60,41243,40718
2026-02-04,L1,B,450,89,37264,36983
2026-02-04,L2,A,450,61,29393,28823
2026-02-04,L2,B,450,101,25898,25382
2026-02-04,L3,A,450,35,58585,57979
2026-02-04,L3,B,450,22,56232,55869
2026-02-04,L4,A,450,95,16786,16482
2026-02-04,L4,B,450,84,17145,16832
2026-02-05,L1,A,450,36,42975,42337
2026-02-05,L1,B,450,25,43259,42876
2026-02-05,L2,A,450,86,28946,28509
2026-02-05,L2,B,450,44,30270,29599
2026-02-05,L3,A,450,27,58633,58269
2026-02-05,L3,B,450,0,61398,60808
2026-02-05,L4,A,450,41,19635,19153
2026-02-05,L4,B,450,85,17003,16548
2026-02-06,L1,A,450,48,43028,42327
2026-02-06,L1,B,450,37,42209,41676
2026-02-06,L2,A,450,36,30871,30230
2026-02-06,L2,B,450,93,26727,26301
2026-02-06,L3,A,450,74,53412,52933
2026-02-06,L3,B,450,53,54894,54387
2026-02-06,L4,A,450,65,18334,17744
2026-02-06,L4,B,450,69,18509,18020
2026-02-09,L1,A,450,78,40745,40399
2026-02-09,L1,B,450,60,41530,40861
2026-02-09,L2,A,450,73,28874,28271
2026-02-09,L2,B,450,120,24366,23805
2026-02-09,L3,A,450,65,52938,52331
2026-02-09,L3,B,450,66,50271,49899
2026-02-09,L4,A,450,77,17633,17328
2026-02-09,L4,B,450,32,19900,19418
2026-02-10,L1,A,450,0,48730,48096
2026-02-10,L1,B,450,42,43972,43528
2026-02-10,L2,A,450,45,32119,31518
2026-02-10,L2,B,450,118,24889,24265
2026-02-10,L3,A,450,49,57313,56989
2026-02-10,L3,B,450,42,56628,56036
2026-02-10,L4,A,450,73,18866,18434
2026-02-10,L4,B,450,56,18591,18009
2026-02-11,L1,A,450,27,45100,44439
2026-02-11,L1,B,450,88,37937,37577
2026-02-11,L2,A,450,95,27572,27010
2026-02-11,L2,B,450,85,28069,27745
2026-02-11,L3,A,450,63,54207,53767
2026-02-11,L3,B,450,31,56903,56189
2026-02-11,L4,A,450,30,20013,19546
2026-02-11,L4,B,450,47,18950,18603
2026-02-12,L1,A,450,10,45746,45240
2026-02-12,L1,B,450,0,48039,47376
2026-02-12,L2,A,450,51,30836,30492
2026-02-12,L2,B,450,71,27848,27535
2026-02-12,L3,A,450,35,57162,56546
2026-02-12,L3,B,450,77,48760,48441
2026-02-12,L4,A,450,3,21520,20892
2026-02-12,L4,B,450,103,16940,16329
2026-02-13,L1,A,450,53,43670,43246
2026-02-13,L1,B,450,31,44684,44184
2026-02-13,L2,A,450,90,28591,28118
2026-02-13,L2,B,450,23,32168,31447
2026-02-13,L3,A,450,53,55554,55196
2026-02-13,L3,B,450,11,59125,58419
2026-02-13,L4,A,450,56,19174,18516
2026-02-13,L4,B,450,99,17037,16626
2026-02-16,L1,A,450,33,44538,44042
2026-02-16,L1,B,450,14,46432,45738
2026-02-16,L2,A,450,90,28676,28109
2026-02-16,L2,B,450,28,32205,31436
2026-02-16,L3,A,450,47,54698,54257
2026-02-16,L3,B,450,22,57015,56698
2026-02-16,L4,A,450,124,16323,15968
2026-02-16,L4,B,450,66,18101,17484
2026-02-17,L1,A,450,26,45583,44937
2026-02-17,L1,B,450,18,43517,43031
2026-02-17,L2,A,450,171,21762,21215
2026-02-17,L2,B,450,62,28561,28187
2026-02-17,L3,A,450,88,51869,51395
2026-02-17,L3,B,450,49,52754,52182
2026-02-17,L4,A,450,67,19002,18444
2026-02-17,L4,B,450,140,14334,14002
2026-02-18,L1,A,450,3,48570,48067
2026-02-18,L1,B,450,69,39811,39325
2026-02-18,L2,A,450,118,25541,25075
2026-02-18,L2,B,450,31,31933,31324
2026-02-18,L3,A,450,75,53440,52998
2026-02-18,L3,B,450,33,57266,56553
2026-02-18,L4,A,450,90,17200,16695
2026-02-18,L4,B,450,91,16857,16366
2026-02-19,L1,A,450,5,47392,46729
