week_start,iso_week,district,age_group,confirmed_cases,hospitalizations
2025-09-29,2025-W40,Northgate,0-4,0,0
2025-09-29,2025-W40,Northgate,5-17,1,0
2025-09-29,2025-W40,Northgate,18-49,4,1
2025-09-29,2025-W40,Northgate,50-64,0,0
2025-09-29,2025-W40,Northgate,65+,1,0
2025-09-29,2025-W40,Riverside East,0-4,0,0
2025-09-29,2025-W40,Riverside East,5-17,3,0
2025-09-29,2025-W40,Riverside East,18-49,0,0
2025-09-29,2025-W40,Riverside East,50-64,2,0
2025-09-29,2025-W40,Riverside East,65+,1,0
2025-09-29,2025-W40,Old Harbor,0-4,0,0
2025-09-29,2025-W40,Old Harbor,5-17,1,0
2025-09-29,2025-W40,Old Harbor,18-49,2,0
2025-09-29,2025-W40,Old Harbor,50-64,1,0
2025-09-29,2025-W40,Old Harbor,65+,2,1
2025-09-29,2025-W40,Millbrook,0-4,0,0
2025-09-29,2025-W40,Millbrook,5-17,4,0
2025-09-29,2025-W40,Millbrook,18-49,6,0
2025-09-29,2025-W40,Millbrook,50-64,0,0
2025-09-29,2025-W40,Millbrook,65+,1,0
2025-09-29,2025-W40,Cedar Falls,0-4,0,0
2025-09-29,2025-W40,Cedar Falls,5-17,1,0
2025-09-29,2025-W40,Cedar Falls,18-49,3,0
2025-09-29,2025-W40,Cedar Falls,50-64,0,0
2025-09-29,2025-W40,Cedar Falls,65+,1,0
2025-09-29,2025-W40,Southport,0-4,0,0
2025-09-29,2025-W40,Southport,5-17,7,0
2025-09-29,2025-W40,Southport,18-49,4,0
2025-09-29,2025-W40,Southport,50-64,1,0
2025-09-29,2025-W40,Southport,65+,1,0
2025-10-06,2025-W41,Northgate,0-4,2,0
2025-10-06,2025-W41,Northgate,5-17,4,0
2025-10-06,2025-W41,Northgate,18-49,5,0
2025-10-06,2025-W41,Northgate,50-64,1,0
2025-10-06,2025-W41,Northgate,65+,0,0
2025-10-06,2025-W41,Riverside East,0-4,1,1
2025-10-06,2025-W41,Riverside East,5-17,3,0
2025-10-06,2025-W41,Riverside East,18-49,3,0
2025-10-06,2025-W41,Riverside East,50-64,1,0
2025-10-06,2025-W41,Riverside East,65+,1,0
2025-10-06,2025-W41,Old Harbor,0-4,1,0
2025-10-06,2025-W41,Old Harbor,5-17,0,0
2025-10-06,2025-W41,Old Harbor,18-49,1,0
2025-10-06,2025-W41,Old Harbor,50-64,1,0
2025-10-06,2025-W41,Old Harbor,65+,1,0
2025-10-06,2025-W41,Millbrook,0-4,1,0
2025-10-06,2025-W41,Millbrook,5-17,5,0
2025-10-06,2025-W41,Millbrook,18-49,3,0
2025-10-06,2025-W41,Millbrook,50-64,2,0
2025-10-06,2025-W41,Millbrook,65+,1,1
2025-10-06,2025-W41,Cedar Falls,0-4,0,0
2025-10-06,2025-W41,Cedar Falls,5-17,2,0
2025-10-06,2025-W41,Cedar Falls,18-49,1,0
