district,age_group,population
Northgate,0-4,5520
Northgate,5-17,15640
Northgate,18-49,40480
Northgate,50-64,16560
Northgate,65+,13800
Riverside East,0-4,5460
Riverside East,5-17,14820
Riverside East,18-49,35100
Riverside East,50-64,12480
Riverside East,65+,10140
Old Harbor,0-4,2560
Old Harbor,5-17,7040
Old Harbor,18-49,21120
Old Harbor,50-64,14080
Old Harbor,65+,19200
Millbrook,0-4,5100
Millbrook,5-17,15300
Millbrook,18-49,36550
Millbrook,50-64,15300
Millbrook,65+,12750
Cedar Falls,0-4,2850
Cedar Falls,5-17,8550
Cedar Falls,18-49,22800
Cedar Falls,50-64,11970
Cedar Falls,65+,10830
Southport,0-4,8320
Southport,5-17,21840
Southport,18-49,48880
Southport,50-64,15600
Southport,65+,9360
