month,University,Harbor,Hillcrest,Old Town,Airport,Riverside
2024-01,37.8,22.4,9.1,19.4,12.2,10.3
2024-02,31.5,26.3,8.7,21.5,,12.5
2024-03,29.4,29.4,10.6,28.0,,12.9
2024-04,25.2,37.9,12.5,32.5,,19.4
2024-05,27.1,41.3,14.8,38.1,17.1,24.7
2024-06,28.1,51.1,15.5,40.8,18.7,31.6
2024-07,24.3,48.1,15.3,41.4,20.6,36.1
2024-08,28.0,52.2,15.9,41.0,22.8,35.5
2024-09,37.1,45.6,15.1,34.0,23.1,34.1
2024-10,42.2,42.0,11.5,28.0,21.0,27.6
2024-11,40.7,31.1,8.8,25.9,19.4,20.8
2024-12,38.4,27.2,8.6,23.5,17.6,15.3
2025-01,39.3,25.1,8.1,22.4,16.0,11.7
2025-02,31.6,26.7,7.8,25.5,16.7,12.3
2025-03,28.5,34.6,10.6,29.9,17.8,16.9
2025-04,27.7,42.0,11.1,35.4,22.4,22.3
2025-05,28.2,50.0,13.6,41.9,22.7,31.4
2025-06,28.5,56.8,14.0,44.8,26.5,38.0
2025-07,25.8,55.4,15.9,46.8,27.0,40.5
2025-08,29.4,54.5,14.4,45.6,30.7,44.7
2025-09,39.1,51.5,12.7,38.7,31.0,41.4
2025-10,44.8,41.1,10.6,33.2,29.3,32.0
2025-11,44.0,33.3,8.8,28.5,27.6,25.4
2025-12,41.6,30.6,8.7,23.0,24.0,18.9
