date,steps
2025-01-01,4256
2025-01-02,8815
2025-01-03,2126
2025-01-04,5568
2025-01-05,9396
2025-01-06,6485
2025-01-07,4369
2025-01-08,4992
2025-01-09,6365
2025-01-10,3041
2025-01-11,9072
2025-01-12,5953
2025-01-13,5894
2025-01-14,1887
2025-01-15,2917
2025-01-16,6890
2025-01-17,3051
2025-01-18,8938
2025-01-19,11061
2025-01-20,9369
2025-01-21,6829
2025-01-22,7197
2025-01-23,6234
2025-01-24,3718
2025-01-25,5683
2025-01-26,8171
2025-01-27,2066
2025-01-28,2304
2025-01-29,7132
2025-01-30,6571
2025-01-31,1130
2025-02-01,12013
2025-02-02,9588
2025-02-03,5844
2025-02-04,5215
2025-02-05,7430
2025-02-06,7546
2025-02-07,5319
2025-02-08,10830
2025-02-09,8305
2025-02-10,10019
2025-02-11,4625
2025-02-12,5251
2025-02-13,8413
2025-02-14,5263
2025-02-15,11428
2025-02-16,9039
2025-02-17,6062
2025-02-18,10294
2025-02-19,6278
2025-02-20,2573
2025-02-21,7193
2025-02-22,5848
2025-02-23,10163
2025-02-24,8769
2025-02-25,7485
2025-02-26,8104
2025-02-27,8702
2025-02-28,7468
2025-03-01,12504
2025-03-02,7907
2025-03-03,7999
2025-03-04,4596
2025-03-05,7874
2025-03-06,7138
2025-03-07,8161
2025-03-08,7960
2025-03-09,6232
2025-03-10,8712
2025-03-11,6425
2025-03-12,11079
2025-03-13,6891
2025-03-14,
2025-03-15,
2025-03-16,13899
2025-03-17,5133
2025-03-18,7722
2025-03-19,5037
2025-03-20,6387
2025-03-21,10231
2025-03-22,13967
2025-03-23,4483
2025-03-24,6927
2025-03-25,9439
2025-03-26,4091
2025-03-27,7886
2025-03-28,12633
2025-03-29,15565
2025-03-30,13209
2025-03-31,7440
2025-04-01,2561
2025-04-02,8307
2025-04-03,7415
2025-04-04,7212
2025-04-05,9124
2025-04-06,10119
2025-04-07,9705
2025-04-08,9881
2025-04-09,12350
2025-04-10,9543
2025-04-11,10814
2025-04-12,11640
2025-04-13,11027
2025-04-14,10395
2025-04-15,7963
2025-04-16,7863
2025-04-17,8955
2025-04-18,9949
2025-04-19,10668
2025-04-20,8093
2025-04-21,8866
2025-04-22,11617
2025-04-23,14437
2025-04-24,9093
2025-04-25,8836
2025-04-26,14533
2025-04-27,10896
2025-04-28,9271
2025-04-29,10137
2025-04-30,8620
2025-05-01,7287
2025-05-02,9283
2025-05-03,11159
2025-05-04,9240
2025-05-05,10157
2025-05-06,10441
2025-05-07,9498
2025-05-08,6193
2025-05-09,10789
2025-05-10,12000
2025-05-11,11764
2025-05-12,10977
2025-05-13,12175
2025-05-14,12454
2025-05-15,12248
2025-05-16,11363
2025-05-17,15530
2025-05-18,12644
2025-05-19,12038
2025-05-20,10135
2025-05-21,9886
2025-05-22,13346
2025-05-23,10110
2025-05-24,15028
2025-05-25,11738
2025-05-26,9382
2025-05-27,16458
2025-05-28,10900
2025-05-29,14783
2025-05-30,9961
2025-05-31,10439
