station,line,line_color,2018,2019,2020,2021,2022,2023,2024,2025
Airport,Airport Express,#f28c28,35.6,37.9,9.8,14.3,26.4,33.7,38.5,41.2
Beacon Hill,Garden,#2e9e4f,29.3,30.0,18.2,22.4,27.9,29.4,30.1,30.6
Central,Crown,#1f5fae,88.4,90.1,49.6,61.2,78.5,85.0,87.9,89.3
Docklands,Harbour,#d7263d,32.8,36.9,21.5,29.9,39.2,46.3,52.8,58.4
Harbour Gate,Harbour,#d7263d,,,,12.5,31.7,42.6,49.9,55.7
Market Square,Harbour,#d7263d,71.2,72.8,40.3,50.7,64.9,70.2,73.6,74.1
Northgate,Crown,#1f5fae,38.7,38.1,24.4,27.6,33.5,35.2,36.0,36.4
Old Town,Crown,#1f5fae,46.1,45.3,26.7,33.0,41.8,44.0,45.1,45.9
Riverside,Harbour,#d7263d,49.5,51.0,30.2,38.4,45.7,48.9,50.3,51.2
Southbank,Crown,#1f5fae,24.7,25.9,15.1,19.8,23.6,25.2,26.4,27.1
Tanner Row,Harbour,#d7263d,27.5,26.8,16.9,20.3,24.0,24.9,25.0,25.3
University,Garden,#2e9e4f,54.0,57.3,22.1,38.4,52.6,58.8,61.5,63.0
