year,province,capacity_mw,share_pct
2015,Aldena,210,8.2
2015,Brisa Coast,140,6.1
2015,Corvel,160,9.4
2015,Dunmore,110,5.0
2015,Estrel Valley,90,3.8
2015,Farrow Hills,45,2.9
2015,Galen Plains,70,4.4
2015,Highmark,30,1.7
2016,Aldena,240,9.8
2016,Brisa Coast,175,8.5
2016,Corvel,185,11.0
2016,Dunmore,125,6.2
2016,Estrel Valley,105,4.8
2016,Farrow Hills,55,4.0
2016,Galen Plains,90,6.4
2016,Highmark,38,2.7
2017,Aldena,275,11.8
2017,Brisa Coast,210,11.4
2017,Corvel,215,13.0
2017,Dunmore,145,7.7
2017,Estrel Valley,120,6.1
2017,Farrow Hills,65,5.2
2017,Galen Plains,118,8.8
2017,Highmark,48,3.9
2018,Aldena,310,13.9
2018,Brisa Coast,285,14.6
2018,Corvel,250,15.2
2018,Dunmore,165,9.3
2018,Estrel Valley,135,7.5
2018,Farrow Hills,75,6.6
2018,Galen Plains,150,11.3
2018,Highmark,58,5.1
2019,Aldena,350,16.2
2019,Brisa Coast,340,17.9
2019,Corvel,280,17.4
2019,Dunmore,185,11.0
2019,Estrel Valley,150,8.9
2019,Farrow Hills,86,8.1
2019,Galen Plains,182,14.1
2019,Highmark,70,6.5
2020,Aldena,390,18.5
2020,Brisa Coast,385,21.4
2020,Corvel,305,19.8
2020,Dunmore,205,12.7
2020,Estrel Valley,165,10.4
2020,Farrow Hills,98,9.6
2020,Galen Plains,215,16.9
2020,Highmark,82,7.9
2021,Aldena,425,20.5
2021,Brisa Coast,440,25.7
2021,Corvel,330,22.1
2021,Dunmore,222,14.8
2021,Estrel Valley,180,12.4
2021,Farrow Hills,110,11.4
2021,Galen Plains,262,21.0
2021,Highmark,96,11.5
2022,Aldena,455,22.9
2022,Brisa Coast,510,30.7
2022,Corvel,350,24.7
2022,Dunmore,240,17.2
2022,Estrel Valley,195,14.7
2022,Farrow Hills,122,13.6
2022,Galen Plains,310,25.7
2022,Highmark,125,15.7
2023,Aldena,480,25.4
2023,Brisa Coast,580,35.9
2023,Corvel,368,27.4
2023,Dunmore,255,19.8
2023,Estrel Valley,210,17.1
2023,Farrow Hills,133,15.8
2023,Galen Plains,375,30.6
2023,Highmark,150,20.1
2024,Aldena,505,27.9
2024,Brisa Coast,650,41.3
2024,Corvel,385,30.2
2024,Dunmore,270,22.4
2024,Estrel Valley,225,19.6
2024,Farrow Hills,145,18.1
2024,Galen Plains,412,35.7
2024,Highmark,180,24.6
