t,id,action,side,price,qty,ref
0.0,1,LIMIT,BUY,99.90,300,
0.0,2,LIMIT,BUY,99.80,200,
0.0,3,LIMIT,BUY,99.70,400,
0.0,4,LIMIT,BUY,99.90,100,
0.0,5,LIMIT,SELL,100.10,250,
0.0,6,LIMIT,SELL,100.20,300,
0.0,7,LIMIT,SELL,100.10,150,
0.0,8,LIMIT,SELL,100.40,500,
1.0,9,LIMIT,BUY,100.00,150,
2.0,10,MARKET,BUY,,300,
3.0,11,LIMIT,SELL,99.90,500,
4.0,12,CANCEL,,,,4
5.0,13,CANCEL,,,,5
6.0,14,LIMIT,SELL,100.10,200,
7.0,15,LIMIT,BUY,100.20,450,
8.0,16,LIMIT,BUY,100.00,300,
9.0,17,LIMIT,BUY,100.00,200,
10.0,18,MARKET,SELL,,600,
11.0,19,LIMIT,SELL,99.80,150,
12.0,20,MARKET,BUY,,900,
13.0,21,LIMIT,SELL,100.30,300,
14.0,22,LIMIT,BUY,99.90,250,
15.0,23,CANCEL,,,,3
